"","x"
"1","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-health.2026-08-03_195142.csv.gz"
"2","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-health.2026-08-03_205143.csv.gz"
"3","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-health.2026-08-04_172557.csv.gz"
"4","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-06_233954.csv.gz"
"5","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-07_003956.csv.gz"
"6","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-07_013957.csv.gz"
"7","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-07_044002.csv.gz"
"8","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-08_212931.csv.gz"
"9","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-08_222932.csv.gz"
"10","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-08_232933.csv.gz"
"11","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_002935.csv.gz"
"12","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_012936.csv.gz"
"13","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_022938.csv.gz"
"14","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_032938.csv.gz"
"15","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_042939.csv.gz"
"16","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_052941.csv.gz"
"17","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_062942.csv.gz"
"18","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_072943.csv.gz"
"19","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_082944.csv.gz"
"20","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_092945.csv.gz"
"21","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_102946.csv.gz"
"22","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_112947.csv.gz"
"23","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_122948.csv.gz"
"24","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_132950.csv.gz"
"25","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_142951.csv.gz"
"26","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_152952.csv.gz"
"27","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_162953.csv.gz"
"28","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_172954.csv.gz"
"29","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_182955.csv.gz"
"30","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_192957.csv.gz"
"31","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-09_233001.csv.gz"
"32","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-10_003003.csv.gz"
"33","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-10_053009.csv.gz"
"34","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-10_222508.csv.gz"
"35","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/node_health/CTT-V3033D41B82B-node-meta.2026-08-10_232509.csv.gz"
"36","data/Thompson Rivers University/nodes//Thompson Rivers University/V3033D41B82B/raw/CTT-V3033D41B82B-raw-data.2026-08-03_195142.csv.gz"
