node_id,lat,sd_lat,lon,sd_lon
04BBDF57,60.9557430,6.222539674e-05,-138.0295405,2.192031022e-05
36062987,60.9560620,0.000000000e+00,-138.0276940,0.000000000e+00
36D4B1EA,60.9567070,0.000000000e+00,-138.0294490,0.000000000e+00
443B82F0,60.9565650,0.000000000e+00,-138.0327140,0.000000000e+00
465E59F7,60.9550850,0.000000000e+00,-138.0310510,0.000000000e+00
488C1208,60.9556230,5.939696962e-05,-138.0283125,7.566042560e-05
50F91F5F,60.9547270,0.000000000e+00,-138.0297540,0.000000000e+00
58B0180B,60.9544615,1.110157646e-04,-138.0305705,3.181980515e-05
67EAA6AD,60.9550930,0.000000000e+00,-138.0291290,0.000000000e+00
84FA9FB6,60.9570350,0.000000000e+00,-138.0320280,0.000000000e+00
8D2158DD,60.9554780,0.000000000e+00,-138.0303950,0.000000000e+00
A66D117E,60.9568740,0.000000000e+00,-138.0306540,0.000000000e+00
AEC2A30E,60.9572830,0.000000000e+00,-138.0300290,0.000000000e+00
B2C4167A,60.9550130,0.000000000e+00,-138.0322410,0.000000000e+00
BFF538F5,60.9559550,7.071067812e-05,-138.0309140,6.505382387e-05
C706D6D1,60.9562180,5.374011537e-05,-138.0346215,4.313351364e-05
E96C80B2,60.9554400,0.000000000e+00,-138.0317070,0.000000000e+00
E998ECC4,60.9560270,0.000000000e+00,-138.0319970,0.000000000e+00
F5677EC5,60.9561300,0.000000000e+00,-138.0288840,0.000000000e+00
F5A1B29B,60.9563860,4.808326112e-05,-138.0302120,6.505382387e-05
